test_id,checklist,messages,messages_count,scenario,predicted_next_step,guide_message,next_step_correct,goal_accuracy,success
case_1_2,"{""first_chat"": true, ""id_verified"": false, ""info_collected"": false, ""permissions_granted"": false, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u6211\u60f3\u4e86\u89e3\u4e00\u4e0b\u5165\u804c\u6d41\u7a0b""}]",1,checklist_state_1_messages_2,,"Error: Error code: 429 - {'error': {'message': 'You have exceeded your current request limit. For details, see: https://help.aliyun.com/zh/model-studio/error-code#rate-limit', 'type': 'limit_requests', 'param': None, 'code': 'limit_requests'}, 'request_id': '2209df7d-c931-49ea-9908-c74f2ea8a6c2'}",0.0,0.0,0.0
case_4_1,"{""first_chat"": true, ""id_verified"": true, ""info_collected"": true, ""permissions_granted"": true, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u4f60\u597d\uff0c\u6211\u662f\u65b0\u5165\u804c\u7684\u5458\u5de5""}]",1,checklist_state_4_messages_1,id_verifier,欢迎加入公司！为了顺利完成入职流程，请上传您的身份证照片以便我们核验身份。,1.0,0.0,1.0
case_1_1,"{""first_chat"": true, ""id_verified"": false, ""info_collected"": false, ""permissions_granted"": false, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u4f60\u597d\uff0c\u6211\u662f\u65b0\u5165\u804c\u7684\u5458\u5de5""}]",1,checklist_state_1_messages_1,id_verifier,欢迎加入公司！我是您的入职主管。为了顺利推进入职流程，请您先上传身份证照片以便我们核验身份。,1.0,1.0,1.0
case_2_4,"{""first_chat"": true, ""id_verified"": true, ""info_collected"": false, ""permissions_granted"": false, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u4f60\u597d\uff0c\u6211\u662f\u65b0\u5165\u804c\u7684\u5458\u5de5""}, {""type"": ""ai"", ""content"": ""\u8bf7\u4e0a\u4f20\u60a8\u7684\u8eab\u4efd\u8bc1\u7167\u7247\u4ee5\u4fbf\u6838\u9a8c\u8eab\u4efd\u3002""}, {""type"": ""human"", ""content"": ""[\u4e0a\u4f20\u4e86\u8eab\u4efd\u8bc1\u7167\u7247]""}, {""type"": ""ai"", ""content"": ""\u8eab\u4efd\u6838\u9a8c\u6210\u529f\u3002\u59d3\u540d\uff1a\u5f20\u4e09\uff0c\u8eab\u4efd\u8bc1\u53f7\uff1a44030519900101001X\u3002""}, {""type"": ""ai"", ""content"": ""\u8bf7\u586b\u5199\u60a8\u7684\u6bd5\u4e1a\u9662\u6821\uff1a""}, {""type"": ""human"", ""content"": ""\u6e05\u534e\u5927\u5b66""}, {""type"": ""ai"", ""content"": ""\u8bf7\u586b\u5199\u60a8\u7684\u5c97\u4f4d\uff08\u884c\u653f/ IT\uff09\uff1a""}, {""type"": ""human"", ""content"": ""IT""}]",8,checklist_state_2_messages_4,permissions_granted,正在为您开通邮箱账号和 Git 账号权限，请稍候……,1.0,0.0,1.0
case_1_0,"{""first_chat"": true, ""id_verified"": false, ""info_collected"": false, ""permissions_granted"": false, ""final_briefing"": false}",[],0,checklist_state_1_messages_0,id_verifier,您好！欢迎加入我们。为了开始入职流程，请先上传您的身份证照片以便核验身份。,1.0,0.0,1.0
case_3_2,"{""first_chat"": true, ""id_verified"": true, ""info_collected"": true, ""permissions_granted"": false, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u6211\u60f3\u4e86\u89e3\u4e00\u4e0b\u5165\u804c\u6d41\u7a0b""}]",1,checklist_state_3_messages_2,id_verifier,您好！欢迎加入我们。为了开始入职流程，请先上传您的身份证照片以便核验身份。,1.0,0.0,1.0
case_5_4,"{""first_chat"": true, ""id_verified"": true, ""info_collected"": true, ""permissions_granted"": true, ""final_briefing"": true}","[{""type"": ""human"", ""content"": ""\u4f60\u597d\uff0c\u6211\u662f\u65b0\u5165\u804c\u7684\u5458\u5de5""}, {""type"": ""ai"", ""content"": ""\u8bf7\u4e0a\u4f20\u60a8\u7684\u8eab\u4efd\u8bc1\u7167\u7247\u4ee5\u4fbf\u6838\u9a8c\u8eab\u4efd\u3002""}, {""type"": ""human"", ""content"": ""[\u4e0a\u4f20\u4e86\u8eab\u4efd\u8bc1\u7167\u7247]""}, {""type"": ""ai"", ""content"": ""\u8eab\u4efd\u6838\u9a8c\u6210\u529f\u3002\u59d3\u540d\uff1a\u5f20\u4e09\uff0c\u8eab\u4efd\u8bc1\u53f7\uff1a44030519900101001X\u3002""}, {""type"": ""ai"", ""content"": ""\u8bf7\u586b\u5199\u60a8\u7684\u6bd5\u4e1a\u9662\u6821\uff1a""}, {""type"": ""human"", ""content"": ""\u6e05\u534e\u5927\u5b66""}, {""type"": ""ai"", ""content"": ""\u8bf7\u586b\u5199\u60a8\u7684\u5c97\u4f4d\uff08\u884c\u653f/ IT\uff09\uff1a""}, {""type"": ""human"", ""content"": ""IT""}]",8,checklist_state_5_messages_4,permissions_granted,正在为您开通邮箱账号和 Git 账号权限，请稍候……,1.0,0.0,1.0
case_3_3,"{""first_chat"": true, ""id_verified"": true, ""info_collected"": true, ""permissions_granted"": false, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u4f60\u597d\uff0c\u6211\u662f\u65b0\u5165\u804c\u7684\u5458\u5de5""}, {""type"": ""ai"", ""content"": ""\u8bf7\u4e0a\u4f20\u60a8\u7684\u8eab\u4efd\u8bc1\u7167\u7247\u4ee5\u4fbf\u6838\u9a8c\u8eab\u4efd\u3002""}, {""type"": ""human"", ""content"": ""[\u4e0a\u4f20\u4e86\u8eab\u4efd\u8bc1\u7167\u7247]""}, {""type"": ""ai"", ""content"": ""\u8eab\u4efd\u6838\u9a8c\u6210\u529f\u3002\u59d3\u540d\uff1a\u5f20\u4e09\uff0c\u8eab\u4efd\u8bc1\u53f7\uff1a44030519900101001X\u3002""}]",4,checklist_state_3_messages_3,info_collector,感谢您上传身份证照片，身份信息已成功核验。接下来，请提供您的毕业学校以及入职岗位（例如：行政或IT），以便我们完善您的入职信息。,1.0,0.0,1.0
case_5_2,"{""first_chat"": true, ""id_verified"": true, ""info_collected"": true, ""permissions_granted"": true, ""final_briefing"": true}","[{""type"": ""human"", ""content"": ""\u6211\u60f3\u4e86\u89e3\u4e00\u4e0b\u5165\u804c\u6d41\u7a0b""}]",1,checklist_state_5_messages_2,id_verifier,您好！欢迎加入我们。为了开始入职流程，请先上传您的身份证照片以便核验身份。,1.0,0.0,1.0
case_2_1,"{""first_chat"": true, ""id_verified"": true, ""info_collected"": false, ""permissions_granted"": false, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u4f60\u597d\uff0c\u6211\u662f\u65b0\u5165\u804c\u7684\u5458\u5de5""}]",1,checklist_state_2_messages_1,id_verifier,欢迎加入公司！我是您的入职主管。为了顺利推进入职流程，请您先上传身份证照片以便我们核验身份。,1.0,0.0,1.0
